SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(O)C(CC(C)Cc1c(O)c(NC(=O)C(C)=CC=CC(OC)COC(=O)N(C)N)cc(O)c1N=CCN(C)C)OC,579.6950000000003,2.3358000000000008,5,11,179.41,16,,Low,Low,Moderate,Moderate,Yes,2,0.02851373542418842,65,
CCC1C(=O)C(O)C(OC)CC(C)c2c(O)c(cc(O)c2N=CCN(C)C)NC(=O)C(C)=CC=CC(OC)C1OC(=O)N(C)N,633.743,2.6068,5,12,196.48,7,,High,Low,Moderate,Moderate,Yes,2,0.07391398696240338,75,*C(=O)C(*)CC
COC1C=CC=C(C)C(=O)Nc2cc(O)c(N=CCN(C)C)c(c2O)C(C)CC(OC)C(O)C(=O)CC(C)C1OC(=O)N(C)N,633.7430000000003,2.6068,5,12,196.48000000000002,6,,High,Low,Moderate,Moderate,Yes,2,0.07711524830134082,75,*C(=O)CC(*)C
COC1C=CC=C(C)C(=O)Nc2cc(O)c(N=CCN(C)C)c(c2O)C(C)CC(OC)C(O)CC(=O)C(C)C1OC(=O)N(C)N,633.7430000000003,2.6068,5,12,196.48000000000002,6,,High,Low,Moderate,Moderate,Yes,2,0.07711524830134082,75,*CC(=O)C(*)C
C=C1C(O)C(OC)CC(C)c2c(O)c(cc(O)c2N=CCN(C)C)NC(=O)C(C)=CC=CC(OC)C(OC(=O)N(C)N)C12CO2,631.727,2.3367000000000004,5,12,191.94000000000003,6,,Low,Low,Moderate,Moderate,Yes,2,0.04524617484709503,65,*C(=C)C1(*)CO1
COC1C=CC=C(C)C(=O)Nc2cc(O)c(N=CCN(C)C)c(c2O)C(C)CC(OC)C(O)CC(=O)CC1OC(=O)N(C)N,619.7160000000002,2.3608,5,12,196.48000000000002,6,,Low,Low,Moderate,Moderate,Yes,2,0.07827582949920103,65,*CC(=O)C*
