SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
NC(CCCNC(=N)N)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O,690.825,-4.227630000000003,12,11,334.03999999999996,23,,Low,Low,Moderate,Moderate,No,3,0.027501226296644497,35,
C#CC1CNC(CCCNC(=N)N)C(=O)NC(CCSC)C(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O)CC(=O)O1,740.885,-4.122730000000004,11,12,309.05,17,,Low,Low,Moderate,Moderate,No,3,0.022237246496746427,35,*CC(*)C#C
CCC1CNC(CCCNC(=N)N)C(=O)NC(CCSC)C(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O)CC(=O)O1,744.917,-3.345930000000002,11,12,309.05,18,,Low,Low,Moderate,Moderate,No,3,0.028343222544382103,35,*CC(*)CC
CCC1NNC(CCCNC(=N)N)C(=O)NC(CCSC)C(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O)CC(=O)O1,745.905,-3.8838300000000014,12,13,321.08,18,,Low,Low,Moderate,Moderate,No,3,0.02765099287347699,35,*NC(*)CC
CSCCC1NC(=O)C(CCCNC(=N)N)NC2C(O)C2OC(=O)CC(C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O)NC1=O,744.8729999999999,-5.0128300000000054,12,13,329.28,17,,Low,Low,Moderate,Moderate,No,3,0.028731154233203195,35,*C1C(*)C1O
CSCCC1NC(=O)C(CCCNC(=N)N)NC2CC2(O)OC(=O)CC(C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O)NC1=O,744.873,-4.663630000000002,12,13,329.28,17,,Low,Low,Moderate,Moderate,No,3,0.028849990283149836,35,*C1CC1(*)O
