SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CC(NC(=O)C1C2C(CN1C(=O)C(C)NC(=O)OC(C)(C)C)C2(C)C)C(=O)C(N)=O,424.4980000000002,-0.058299999999997465,3,6,147.9,6,,Low,Low,Low,Moderate,No,0,0.5089494911121136,135,
CC(C)(C)OC(=O)NC1CCCCCC(C(=O)C(N)=O)NC(=O)C2C3C(CN2C1=O)C3(C)C,464.56300000000016,0.8660000000000034,3,6,147.9,3,,Low,Low,Low,Moderate,No,0,0.5279023899310279,155,*CCC*
CC1CC(C(=O)C(N)=O)NC(=O)C2C3C(CN2C(=O)C(NC(=O)OC(C)(C)C)CC1C)C3(C)C,478.5900000000003,0.9679000000000031,3,6,147.89999999999998,3,,Low,Low,Low,Moderate,No,0,0.5149065722413366,155,*C(C)C(*)C
CC(C)(C)OC(=O)NC1CCC(CO)CC(C(=O)C(N)=O)NC(=O)C2C3C(CN2C1=O)C3(C)C,480.56200000000024,-0.3056999999999961,4,7,168.13,4,,Low,Low,Low,Moderate,No,0,0.40032884101100985,105,*CC(*)CO
CC(C)(C)OC(=O)NC1CCC(C(=O)O)CC(C(=O)C(N)=O)NC(=O)C2C3C(CN2C1=O)C3(C)C,494.54500000000024,-0.21339999999999537,4,7,185.2,4,,Low,Low,Low,Moderate,No,0,0.3865153045239616,105,*CC(*)C(=O)O
CC(C)(C)OC(=O)NC1CCNC(=O)CC(C(=O)C(N)=O)NC(=O)C2C3C(CN2C1=O)C3(C)C,479.5340000000002,-1.1880999999999948,4,7,177.0,3,,Low,Low,Low,Moderate,No,0,0.36777639450929545,105,*CNC(*)=O
