SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CNC(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NCCc2c[nH]c3ccccc23)n1,625.7340000000003,1.1609000000000036,7,6,209.48000000000002,15,,Low,Low,Low,Moderate,No,2,0.0581731962570284,85,
N#CC1C(c2c[nH]c3ccccc23)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)c2cccc(n2)C(=O)NCC[C@@H]1O,864.9680000000001,2.2728800000000056,10,9,298.39,8,,Low,Low,Moderate,Moderate,No,2,0.060494700306432427,85,*C[C@H](O)C(*)C#N
NC(N)=NCCCC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)c2cccc(n2)C(=O)NCC(=O)[C@@H]2CC2C(c2c[nH]c3ccccc23)NC1=O,849.9529999999999,2.587300000000006,9,8,271.44,8,,Low,Low,Moderate,Moderate,No,2,0.061806683484194255,85,*C(=O)[C@@H]1CC1*
NC(N)=NCCCC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)c2cccc(n2)C(=O)NCC(=O)N2NC2C(c2c[nH]c3ccccc23)NC1=O,851.9289999999999,1.0550000000000068,10,9,296.38999999999993,8,,Low,Low,Moderate,Moderate,No,2,0.04495697608579817,85,*C(=O)N1NC1*
NC(N)=NCCCC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)c2cccc(n2)C(=O)NCC(=O)[C@H]2CC2C(c2c[nH]c3ccccc23)NC1=O,849.9529999999999,2.587300000000006,9,8,271.44,8,,Low,Low,Moderate,Moderate,No,2,0.061806683484194255,85,*C(=O)[C@H]1CC1*
NC(N)=NCCCC1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)c2cccc(n2)C(=O)NCC(=O)[C@H]2OC2C(c2c[nH]c3ccccc23)NC1=O,851.925,1.7186000000000061,9,9,283.96999999999997,8,,Low,Low,Moderate,Moderate,No,2,0.04627417253894703,85,*C(=O)[C@H]1OC1*
