SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
SSCC(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(CO)NC(=O)CCCCNC(=N)N)C(C)O)C(N)=O,722.8919999999998,-4.188230000000006,13,12,334.03999999999996,24,,Low,Low,Moderate,Moderate,No,3,0.01483545389783534,35,
CC(C)CC1NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)C(=O)C(C)SSCC(C(N)=O)NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC1=O,864.0179999999999,-5.710430000000012,14,15,400.4399999999999,13,,Low,Low,Moderate,Moderate,No,3,0.026970335684157243,35,*C(=O)C(*)C
CC(C)CC1NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)C2CC2(OC=O)SSCC(C(N)=O)NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC1=O,892.0279999999998,-5.778830000000011,14,16,409.6699999999999,15,,Low,Low,Moderate,Moderate,No,3,0.02393973663170613,35,*C1CC1(*)OC=O
CC(C)CC1NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)CC(CCCO)SSCC(C(N)=O)NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC1=O,894.0879999999999,-5.136830000000014,15,15,403.5999999999999,16,,Low,Low,Moderate,Moderate,No,3,0.029817134243995406,35,*CC(*)CCCO
CC(C)CC1NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)CCC2(CC2)SSCC(C(N)=O)NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC1=O,876.073,-4.355230000000007,14,14,383.36999999999995,13,,Low,Low,Moderate,Moderate,No,3,0.0359940072095952,35,*CCC1(*)CC1
CC(C)CC1NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)N[C@H](C)COSSCC(C(N)=O)NC(=O)C(CO)NC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC1=O,881.0489999999999,-6.0059300000000135,15,16,404.6299999999999,13,,Low,Low,Moderate,Moderate,No,3,0.026913463379135572,35,*N[C@H](C)CO*
