SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)O,459.4600000000002,-3.579029999999994,9,7,252.89999999999995,15,,Low,Low,Low,Moderate,No,1,0.06606677445036077,75,
CCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OC(C)COC(=O)CNC1=O,499.5250000000003,-3.2597299999999914,7,9,230.89999999999995,10,,Low,Low,Low,Moderate,No,1,0.06859261995000396,75,*CC(*)C
CCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OC2CC2OC(=O)CNC1=O,497.5090000000003,-3.5073299999999916,7,9,230.89999999999995,10,,Low,Low,Low,Moderate,No,1,0.06805737007027009,75,*C1CC1*
CCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OCC=COC(=O)CNC1=O,497.5090000000003,-3.134529999999992,7,9,230.89999999999995,10,,Low,Low,Low,Moderate,No,1,0.06935764649905302,75,*C=CC*
CCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OCCCOC(=O)CNC1=O,499.5250000000004,-3.2581299999999915,7,9,230.89999999999995,10,,Low,Low,Low,Moderate,No,1,0.0685984465859175,75,*CCC*
CCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OCSCOC(=O)CNC1=O,517.5650000000003,-3.0000299999999918,7,10,230.89999999999995,10,,Low,Low,Moderate,Moderate,No,2,0.06675948905049818,65,*CSC*
