SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(=O)NCCN(CC(N)=O)C(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC=O,809.9290000000001,-1.1216999999999904,9,8,289.09,25,,Low,Low,Moderate,Moderate,No,2,0.01694055595280108,55,
NC(=O)CN1CCNC(=O)CCC=C=CC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,831.9349999999996,0.5138000000000066,9,8,289.09,9,,Low,Low,Moderate,Moderate,No,2,0.04911234095888874,85,*C=C=CCC*
CC1C(=O)NCCN(CC(N)=O)C(=O)C(c2c[nH]c3ccccc23)NC(=O)C(CCCN=C(N)N)NC(=O)C(c2ccccc2)NC(=O)C(c2ccccc2)NC1=O,793.8860000000003,-0.3415999999999923,9,8,289.09,9,,Low,Low,Low,Moderate,No,2,0.04631073688337879,75,*C(*)C
NC(=O)CN1CCNC(=O)CCC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,793.8859999999996,-0.19749999999999224,9,8,289.09,9,,Low,Low,Low,Moderate,No,2,0.061555584772135914,75,*CC*
CCCC1CC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C(=O)N(CC(N)=O)CCNC1=O,835.9669999999999,0.8287000000000078,9,8,289.09,11,,Low,Low,Moderate,Moderate,No,2,0.05868584930884862,75,*CC(*)CCC
NC(=O)CN1CCNC(=O)C(=NO)CCC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,836.9109999999996,-0.3672999999999882,10,10,321.68,9,,Low,Low,Moderate,Moderate,No,2,0.03430009576965826,65,*CCC(*)=NO
