SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CCCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccc2ccccc2c1)NC=O)C(N)=O,697.8410000000002,1.614070000000006,9,6,237.18,20,,Low,Low,Low,Moderate,No,2,0.02860186807504832,85,
CC1CCCCC(C(N)=O)NC(=O)C(c2ccc3ccccc3c2)NC(=O)C(CCCNC(=N)N)NC(=O)C(c2ccc3ccccc3c2)NC(=O)C(=O)C1,748.8850000000001,2.8952700000000053,8,7,238.45999999999998,7,,High,Low,Low,Moderate,No,2,0.06038873924997014,105,*C(=O)CC(*)C
N=C(N)NCCCC1NC(=O)C(c2ccc3ccccc3c2)NC(=O)C2CC2CCCCC(C(N)=O)NC(=O)C(c2ccc3ccccc3c2)NC1=O,718.8590000000003,2.9360700000000035,8,6,221.39,7,,High,Low,Low,Moderate,No,2,0.0810287629025363,105,*C1CC1*
N=C(N)NCCCC1NC(=O)C(c2ccc3ccccc3c2)NC(=O)C#CCCCCC(C(N)=O)NC(=O)C(c2ccc3ccccc3c2)NC1=O,702.8160000000003,2.3033700000000037,8,6,221.39,7,,Low,Low,Low,Moderate,No,2,0.06208779644374812,95,*C#C*
N=C(N)NCCCC1NC(=O)C(c2ccc3ccccc3c2)NC(=O)C2C(CCCCC(C(N)=O)NC(=O)C(c3ccc4ccccc4c3)NC1=O)C2C(=O)O,762.8680000000003,2.246770000000004,9,7,258.69,8,,Low,Low,Low,Moderate,No,2,0.07236592172468657,95,*C1C(*)C1C(=O)O
C[C@@H]1NC12CCCCC(C(N)=O)NC(=O)C(c1ccc3ccccc3c1)NC(=O)C(CCCNC(=N)N)NC(=O)C(c1ccc3ccccc3c1)NC(=O)C2,747.9010000000001,2.420570000000006,9,7,243.32999999999998,7,,Low,Low,Low,Moderate,No,2,0.058712287049742136,95,*CC1(*)N[C@H]1C
