SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CCCCCC(=O)Cc1c(Br)c(O)c(Br)c(O)c1C=O,408.08600000000007,4.127200000000004,2,4,74.6,7,,High,High,Low,High,No,0,0.5259663856669712,180,
O=C1COC=CCCCCCC(=O)c2c(Br)c(O)c(Br)c(O)c21,448.1070000000001,4.482600000000004,2,5,83.83000000000001,0,,High,High,Low,High,No,0,0.6118755456388147,200,*C=COC*
O=C1CCCCCCCC(O)C(=O)c2c(O)c(Br)c(O)c(Br)c21,450.12300000000005,4.093400000000004,3,5,94.83,0,,High,High,Low,High,No,0,0.5538727456017865,180,*CCC(*)O
O=C1CC=CCCCCCC(=O)c2c(Br)c(O)c(Br)c(O)c21,432.10800000000006,4.898600000000004,2,4,74.60000000000001,0,,High,High,Low,High,No,0,0.5726104211478014,180,*C=CC*
O=C1NCCCCCCCC(=O)c2c(Br)c(O)c(Br)c(O)c21,435.1120000000001,3.889500000000003,3,4,86.63000000000001,0,,High,High,Low,High,No,0,0.577581677872096,180,*CCN*
O=C1CCCCCC[C@H]2CC2C(=O)c2c(O)c(Br)c(O)c(Br)c21,446.13500000000005,4.978500000000005,2,4,74.60000000000001,0,,High,High,Low,High,No,0,0.5900555506755331,180,*C[C@H]1CC1*
