SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CC(C)CC(C)C1(O)C=C2C(=C(C)C(=O)C(=O)C2C2OC(C)C(C)C(O)C2C)O1,406.51900000000006,2.776200000000001,2,6,93.06,4,,High,Low,Low,High,Yes,0,0.697625338394767,195,
COC(O)(C=C1C2=CC3(O)OC1=C(C)C(=O)C(=O)C2C1OC(CC=CC(=O)CC(C)CC3C)C(C)C(O)C1C)C(C)CC(C)C,628.8030000000001,4.5991000000000035,3,9,139.59,5,,High,High,Low,High,Yes,1,0.2944719995431505,120,*C=CC(*)=O
COC(O)(C=C1C2=CC3(O)OC1=C(C)C(=O)C(=O)C2C1OC(CCNCCC(C)CC3C)C(C)C(O)C1C)C(C)CC(C)C,617.8240000000002,4.063400000000002,4,9,134.55,5,,High,High,Low,High,Yes,1,0.26614565680073954,120,*CNC*
COC(O)(C=C1C2=CC3(O)OC1=C(C)C(=O)C(=O)C2C1OC(CCCNCC(C)CC3C)C(C)C(O)C1C)C(C)CC(C)C,617.8240000000002,4.063400000000002,4,9,134.55,5,,High,High,Low,High,Yes,1,0.26614565680073954,120,*CCN*
COC(O)(C=C1C2=CC3(O)OC1=C(C)C(=O)C(=O)C2C1OC(CCC(C)CC(C)CC3C)C(C)C(O)C1C)C(C)CC(C)C,616.8360000000001,5.500000000000005,3,8,122.52000000000001,5,,High,High,Low,High,Yes,2,0.27351014763646436,100,*CC(*)C
COC(O)(C=C1C2=CC3(O)OC1=C(C)C(=O)C(=O)C2C1OC(CC=CCCC(C)CC3C)C(C)C(O)C1C)C(C)CC(C)C,614.8200000000002,5.420100000000006,3,8,122.52000000000001,5,,High,High,Low,High,Yes,2,0.2132509632440272,100,*C=CC*
