SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(=O)c1c(O)cc(O)c(Cl)c1CC(=CCC=CC1OC1)N=O,323.732,3.101600000000002,2,6,99.49000000000001,7,,High,High,Low,High,No,0,0.34743076982757537,150,
CN1C(=O)c2c(O)cc(O)c(Cl)c2C=CC=CC2OC2C1C#N,332.74300000000005,2.0657799999999997,2,5,97.09,0,,Low,Low,Low,High,No,0,0.7087410339913284,205,*C(C#N)N(*)C
O=C1c2c(O)cc(O)c(Cl)c2C=CC=CC2OC2NC1CCO,337.75900000000007,1.5823999999999998,4,6,102.32000000000001,2,,Low,Low,Low,High,No,0,0.6111105269389681,205,*NC(*)CCO
O=C1C2=C(C=CC2)C2OC2C=CC=Cc2c(Cl)c(O)cc(O)c21,328.7510000000001,3.540800000000002,2,4,70.06,0,,High,High,Low,High,No,0,0.7146034838125465,200,*C1=C(*)CC=C1
O=C1c2c(O)cc(O)c(Cl)c2C=CC=CC2OC2c2cccn21,329.73900000000003,3.2641000000000018,2,4,74.99000000000001,0,,High,High,Low,High,No,0,0.7273976618570339,200,*c1cccn1*
O=C1c2sccc2C2OC2C=CC=Cc2c(Cl)c(O)cc(O)c21,346.7910000000001,4.066600000000003,2,5,70.06,0,,High,High,Low,High,No,0,0.7054499666419346,200,*c1ccsc1*
