SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CCC=CCC(C)OC(=O)c1c(O)cc(O)c(Cl)c1,284.73900000000003,3.6528000000000027,2,4,66.76,5,,High,High,Low,High,No,0,0.6396011034353849,200,
CC1CC=CCCC=CCC=Cc2c(Cl)c(O)cc(O)c2C(=O)O1,348.8260000000001,4.996100000000005,2,4,66.76,0,,High,High,Low,High,No,0,0.511340111361134,180,*C=CCC=C*
CC1CC=CCCCCC=NCCc2c(Cl)c(O)cc(O)c2C(=O)O1,365.8570000000001,4.430100000000006,2,5,79.12000000000002,0,,High,High,Low,High,No,0,0.5261826483889015,180,*CCC=NCC*
CC1CC=CCCC=CN=CCCc2c(Cl)c(O)cc(O)c2C(=O)O1,363.84100000000007,4.553700000000005,2,5,79.12000000000002,0,,High,High,Low,High,No,0,0.5230153026355583,180,*C=CN=CCC*
CC1CC=CCCC=NCC=CCc2c(Cl)c(O)cc(O)c2C(=O)O1,363.8410000000001,4.206100000000005,2,5,79.12000000000002,0,,High,High,Low,High,No,0,0.5343143417631093,180,*C=NCC=CC*
CC1CC=CCCCCC(=O)CCc2c(Cl)c(O)cc(O)c2C(=O)O1,366.84100000000007,4.318500000000005,2,5,83.83,0,,High,High,Low,High,No,0,0.5273797520058942,180,*CCC(=O)CC*
