SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C=CC(OC)C(OC(N)=O)C(C)CC(C)=C(N=O)C(CC(C)=Cc1c(O)c(N)cc(O)c1N1CCC1)OC,532.6380000000003,4.430000000000003,4,10,169.92999999999998,14,,High,High,Moderate,Moderate,No,1,0.0889338311252725,100,
CCC1=Cc2cccc(c2)C=CC(OC)C(OC(N)=O)C(C(CC(C)c2c(O)cc(N)c(O)c2N2CCC2)OC)=C(C)CC(C)C1OC(N)=O,692.854,6.204600000000005,5,10,192.82,10,,High,High,Moderate,Moderate,No,2,0.08280410978475734,70,*c1cccc(*)c1
CCC1=CCC(=O)OCC=CC(OC)C(OC(N)=O)C(C(CC(C)c2c(O)cc(N)c(O)c2N2CCC2)OC)=C(C)CC(C)C1OC(N)=O,688.8190000000001,4.523700000000003,5,12,219.11999999999998,10,,High,High,Moderate,Moderate,No,2,0.057206135118273445,70,*COC(=O)C*
CCC1=CC2CC2C(=O)C=CC(OC)C(OC(N)=O)C(C(CC(C)c2c(O)cc(N)c(O)c2N2CCC2)OC)=C(C)CC(C)C1OC(N)=O,684.8310000000001,4.795600000000004,5,11,209.89,10,,High,High,Moderate,Moderate,No,2,0.09783842603372724,70,*C(=O)C1CC1*
CCC1=CCCCCC=CC(OC)C(OC(N)=O)C(C(CC(C)c2c(O)cc(N)c(O)c2N2CCC2)OC)=C(C)CC(C)C1OC(N)=O,672.8640000000001,6.150800000000005,5,10,192.82,10,,High,High,Moderate,Moderate,No,2,0.08329730983287538,70,*CCCC*
CCC1=CC(C(N)=O)NNC=CC(OC)C(OC(N)=O)C(C(CC(C)c2c(O)cc(N)c(O)c2N2CCC2)OC)=C(C)CC(C)C1OC(N)=O,703.838,2.4960000000000018,8,13,259.97,11,,Low,Low,Moderate,Moderate,No,3,0.07139163990209732,55,*NNC(*)C(N)=O
