SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(OC(N)=O)C(C=CC=C(C)C(=O)Nc1cc(O)c(N=CCF)c(CC(C)CC(OC)COC)c1O)OC,539.6010000000003,3.551000000000002,4,9,161.92999999999998,16,,High,High,Low,Moderate,Yes,1,0.08149657134421456,90,
COC1C=CC=C(C)C(=O)Nc2cc(O)c(cc2O)C(C)CC(OC)C(OC)CCNC1OC(N)=O,507.58400000000034,2.4920999999999998,5,9,161.60000000000002,4,,Low,Low,Low,Moderate,No,1,0.3044216738705288,125,*CCN*
COC1C=CC=C(C)C(=O)Nc2cc(O)c(cc2O)C(C)CC(OC)C(OC)CC(O)C1OC(N)=O,508.5680000000003,2.3059,5,9,169.8,4,,Low,Low,Low,Moderate,No,1,0.3024007920155122,125,*CC(*)O
COC1C=CC=C(C)C(=O)Nc2cc(O)c(cc2O)C(C)CC(OC)C(OC)C2CC2C1OC(N)=O,504.5800000000003,3.1910000000000007,4,8,149.57000000000002,4,,High,High,Low,Moderate,No,1,0.3607056191720493,120,*C1CC1*
C=C1CC(OC)C(OC)CC(C)c2cc(O)c(cc2O)NC(=O)C(C)=CC=CC(OC)C1OC(N)=O,504.5800000000002,3.5012000000000008,4,8,149.57000000000002,4,,High,High,Low,Moderate,No,1,0.2764533262765942,120,*CC(*)=C
COC1C=CC=C(C)C(=O)Nc2cc(O)c(cc2O)C(C)CC(OC)C(OC)CC(C)C1OC(N)=O,506.59600000000034,3.581100000000001,4,8,149.57000000000002,4,,High,High,Low,Moderate,No,1,0.3575086154856123,120,*CC(*)C
