SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
NC(=O)C(CC(=O)O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)CCCCN=C(N)N,564.6440000000002,-2.0781999999999936,9,8,278.34000000000003,19,,Low,Low,Low,Moderate,No,2,0.050196515564793924,75,
NCCCCC(NC(=O)CCCCN=C(N)N)C(=O)NC(C(=O)NC1CC(=O)OC2C[C@@H]2CSCNC1=O)c1ccc(O)cc1,648.7870000000001,-0.7658999999999916,8,10,253.34999999999994,15,,Low,Low,Moderate,Moderate,No,2,0.050730228708042044,55,*CSC[C@H]1CC1*
NCCCCC(NC(=O)CCCCN=C(N)N)C(=O)NC(C(=O)NC1CC(=O)OOC(=O)CCCNC1=O)c1ccc(O)cc1,634.6910000000003,-1.6066999999999925,8,11,279.65,15,,Low,Low,Moderate,Moderate,No,3,0.046831237507278196,35,*CCCC(=O)O*
