SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(CCCNC(=N)N)NC(=O)C(C)N(C)C(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,462.5510000000003,-0.19492999999999389,6,5,177.70999999999998,14,,Low,Low,Low,Moderate,No,1,0.12591147493759428,75,
CC1C(=O)NC(CCCNC(=N)N)C2=CC=CC2OC(=O)CCC(=O)NC(c2ccccc2)C(=O)N1C,510.5950000000003,0.6406700000000016,5,6,166.71,5,,Low,Low,Low,Moderate,No,1,0.16768069743711173,125,*C1=CC=CC1*
CC1C(=O)NC(CCCNC(=N)N)CCCCOC(=O)CCC(=O)NC(c2ccccc2)C(=O)N1C,502.61600000000027,0.9461700000000011,5,6,166.71,5,,Low,Low,Low,Moderate,No,1,0.17286575083074127,125,*CCCC*
CC1C(=O)NC(CCCNC(=N)N)C2CCC(C2)OC(=O)CCC(=O)NC(c2ccccc2)C(=O)N1C,514.6270000000003,0.9445700000000012,5,6,166.71,5,,Low,Low,Low,Moderate,No,1,0.16869909568867558,125,*C1CCC(*)C1
COC1(C)CC(CCCNC(=N)N)NC(=O)C(C)N(C)C(=O)C(c2ccccc2)NC(=O)CCC(=O)O1,518.6150000000004,0.5285700000000062,5,7,175.93999999999997,6,,Low,Low,Low,Moderate,No,1,0.15672456769505225,125,*CC(*)(C)OC
CC1C(=O)NC(CCCNC(=N)N)C[C@@H](C)COOC(=O)CCC(=O)NC(c2ccccc2)C(=O)N1C,518.6150000000002,0.7336700000000025,5,7,175.94,5,,Low,Low,Low,Moderate,No,1,0.16398491920285946,125,*C[C@@H](C)CO*
