SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(C=O)c1ccccc1,447.54000000000013,-1.1751999999999956,6,6,194.79,16,,Low,Low,Low,Moderate,No,1,0.07937416226188317,75,
NCCCCC1NC(=O)C(CCCN=C(N)N)NC(=O)C2OC2C(=O)C(c2ccccc2)NC1=O,487.56100000000015,-1.653799999999992,6,7,207.31999999999996,9,,Low,Low,Low,Moderate,No,1,0.10258738649574523,85,*C1OC1*
NCCCCC1NC(=O)C(CCCN=C(N)N)NC(=O)CC(Cl)C(=O)C(c2ccccc2)NC1=O,508.0230000000002,-0.42369999999999414,6,6,194.78999999999996,9,,Low,Low,Low,Moderate,No,2,0.11279923187661733,85,*CC(*)Cl
NCCCCC1NC(=O)C(CCCN=C(N)N)NC(=O)CSCC(=O)C(c2ccccc2)NC1=O,505.6450000000002,-0.6879999999999937,6,7,194.78999999999996,9,,Low,Low,Low,Moderate,No,2,0.1440568479821637,85,*CSC*
NCCCCC1NC(=O)C(CCCN=C(N)N)NC(=O)CCC(=O)C(c2ccccc2)NC1=O,473.5780000000002,-0.6409999999999942,6,6,194.78999999999996,9,,Low,Low,Low,Moderate,No,1,0.15573806425488324,85,*CC*
NCCCCC1NC(=O)C(CCCN=C(N)N)NC(=O)C[C@@H](O)C(O)C(=O)C(c2ccccc2)NC1=O,519.6030000000002,-2.3092999999999924,8,8,235.24999999999994,9,,Low,Low,Low,Moderate,No,2,0.0992084960698041,85,*C[C@@H](O)C(*)O
