SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(O)C(CC(C)=Cc1c(O)c(NC(=O)C(C)=CC=CC(OC)COC(N)=O)cc(O)c1NC(=O)OCC)OC,551.5930000000003,3.018200000000001,6,10,198.89999999999998,14,,High,High,Moderate,Moderate,No,2,0.08641549429320776,80,
CCOC(=O)Nc1cc(O)c2c(O)c1C=C(C)CC(OC)C(O)C(CO)CC(O)C(OC)CC2C,497.58500000000026,2.7172,6,9,157.94,5,,High,Low,Low,Moderate,No,1,0.35966659849165056,115,*CC(*)CO
CCOC(=O)Nc1cc(O)c2c(O)c1C=C(C)CC(OC)C(O)C1(O)CC1C(O)C(OC)CC2C,495.56900000000024,2.4696,6,9,157.94,4,,Low,Low,Low,Moderate,No,1,0.3689929411553041,105,*C1CC1(*)O
CCOC(=O)Nc1cc(O)c2c(O)c1C=C(C)CC(OC)C(O)C1CC1C(O)C(OC)CC2C,479.5700000000002,3.354700000000001,5,8,137.71,4,,High,High,Low,High,No,0,0.4432829402019621,150,*C1CC1*
CCOC(=O)Nc1cc(O)c2c(O)c1C=C(C)CC(OC)C(O)CCCC(O)C(OC)CC2C,481.5860000000003,3.8889000000000022,5,8,137.71,4,,High,High,Low,High,No,0,0.4367113270016566,150,*CCC*
CCOC(=O)Nc1cc(O)c2c(O)c1C=C(C)CC(OC)C(O)NNCC(O)C(OC)CC2C,483.5620000000002,1.770299999999999,7,10,161.76999999999998,4,,Low,Low,Moderate,Moderate,No,1,0.3359685709030313,95,*CNN*
