SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O,701.783,-5.456130000000007,13,11,363.13999999999993,22,,Low,Low,Moderate,Moderate,No,3,0.028496429797685813,35,
CC(C)CC(NC(=O)C(NC(=O)C1CC(=O)OC(C)CNC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N1)C(C)O)C(=O)NCC(N)=O,741.8480000000001,-4.964530000000014,12,12,338.15,14,,Low,Low,Moderate,Moderate,No,3,0.034401713502069164,35,*CC(*)C
CC(C)CC(NC(=O)C(NC(=O)C1CC(=O)OC2CC2NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N1)C(C)O)C(=O)NCC(N)=O,739.8320000000001,-5.212130000000014,12,12,338.15,14,,Low,Low,Moderate,Moderate,No,3,0.034348535033665605,35,*C1CC1*
CC(C)CC(NC(=O)C(NC(=O)C1CC(=O)OCOCNC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N1)C(C)O)C(=O)NCC(N)=O,743.82,-5.421430000000017,12,13,347.37999999999994,14,,Low,Low,Moderate,Moderate,No,3,0.03420832975226433,35,*COC*
CC(C)CC(NC(=O)C(NC(=O)C1CC(=O)ON2N[C@H]2CNC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N1)C(C)O)C(=O)NCC(N)=O,755.835,-6.291730000000014,13,14,363.09999999999997,14,,Low,Low,Moderate,Moderate,No,3,0.03393841717509812,35,*C[C@@H]1NN1*
CCC1CNC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O)CC(=O)O1,755.8749999999999,-4.574430000000008,12,12,338.15,15,,Low,Low,Moderate,Moderate,No,3,0.032460690457565854,35,*CC(*)CC
