SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
Nc1cc(O)c(OC)c(C=C(C)CC(OC)C(OC(=O)CCCN)C(C)C=C(C)C(OC(N)=O)COC)c1O,553.6530000000005,2.840400000000001,5,11,198.81,16,,High,Low,Moderate,Moderate,No,2,0.06626606438208549,95,
COc1c(O)cc(N)c(O)c1C(C)CC(OC)C1OC(=O)CCCNC2CC(OC2=O)C(OC)C(OC(N)=O)C(C)=CC1C,623.7000000000002,2.237800000000001,5,13,211.11999999999998,8,,Low,Low,Moderate,Moderate,No,2,0.07030154129965092,85,*C1CC(*)C(=O)O1
CCC1C=NCC(OC)C(OC(N)=O)C(C)=CC(C)C(C(CC(C)c2c(O)c(N)cc(O)c2OC)OC)OC(=O)CCCN1,622.7600000000001,3.403100000000001,5,12,197.17999999999995,9,,High,High,Moderate,Moderate,No,2,0.08894613581313898,80,*CN=CC(*)CC
COc1c(O)cc(N)c(O)c1C(C)CC(OC)C1OC(=O)CCCNC2CC=C(CC2)C(OC)C(OC(N)=O)C(C)=CC1C,619.7560000000002,4.032600000000002,5,11,184.82,8,,High,High,Moderate,Moderate,No,2,0.09301287326341011,80,*C1=CCC(*)CC1
COc1c(O)cc(N)c(O)c1C(C)CC(OC)C1OC(=O)CCCNC2SC(=CN2C)C(OC)C(OC(N)=O)C(C)=CC1C,638.7840000000001,3.3573000000000004,5,13,188.06,8,,High,High,Moderate,Moderate,No,2,0.09176426394071481,80,*C1=CN(C)C(*)S1
COc1c(O)cc(N)c(O)c1C(C)CC(OC)C1OC(=O)CCCNc2ccc(cn2)C(OC)C(OC(N)=O)C(C)=CC1C,616.7120000000001,4.143700000000003,5,12,197.71,8,,High,High,Moderate,Moderate,No,2,0.09352318026147972,80,*c1ccc(*)nc1
