SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(=O)Nc1cc(O)c(NC(=O)C(C)=O)c(C=C(C)CC(OC)C(O)C(C)C=C(C)COC(N)=O)c1O,507.5400000000003,2.0406,6,9,197.51,13,,Low,Low,Low,Moderate,No,2,0.07601675893340837,95,
COC(CC(C)=Cc1c(O)c2cc(O)c1C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)NC(N)C(=O)N2)C(O)C(C)C=C(C)COC(N)=O,721.849,2.6446000000000014,9,13,271.17,11,,Low,Low,Moderate,Moderate,No,3,0.09045258040175909,55,*NC(*)N
COC(CC(C)=Cc1c(O)c2cc(O)c1C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)N=C(NN)C(=O)N2)C(O)C(C)C=C(C)COC(N)=O,734.848,2.6320000000000006,9,14,283.53,11,,Low,Low,Moderate,Moderate,No,3,0.05203441549906996,55,*N=C(*)NN
COC(CC(C)=Cc1c(O)c2cc(O)c1C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C=C=CCNC(=O)N2)C(O)C(C)C=C(C)COC(N)=O,744.883,4.7070000000000025,8,11,245.14999999999998,11,,High,High,Moderate,Moderate,No,3,0.06675232817695667,50,*C=C=CCN*
COC(CC(C)=Cc1c(O)c2cc(O)c1C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)CC#CCC(=O)N2)C(O)C(C)C=C(C)COC(N)=O,729.868,4.596300000000002,7,11,233.11999999999998,11,,High,High,Moderate,Moderate,No,3,0.0719967993438665,50,*CC#CC*
COC(CC(C)=Cc1c(O)c2cc(O)c1C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C=CCC(=O)N2)C(O)C(C)C=C(C)COC(N)=O,717.8570000000001,4.759000000000002,7,11,233.11999999999998,11,,High,High,Moderate,Moderate,No,3,0.09366742761237232,50,*C=CC*
