SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CCOC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(=O)c1cc(NC(=O)CCC(F)(F)F)ccc1)C(C)CO,585.5860000000002,4.632700000000004,2,5,99.18,15,,High,High,Low,Moderate,No,1,0.2926632910424748,130,
CC1CCOC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2N1,626.6390000000004,4.816900000000004,3,6,111.21000000000001,9,,High,High,Low,Moderate,No,1,0.3394601719742968,130,*NC(*)C
CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2C(C)C(O)CCOC1CN(C)C(=O)CCC(F)(F)F,641.6500000000001,4.480900000000004,3,6,119.41,9,,High,High,Low,Moderate,No,1,0.34250736999508063,130,*C(C)C(*)O
CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2OC(O)CCOC1CN(C)C(=O)CCC(F)(F)F,629.5950000000001,3.713700000000002,3,7,128.64000000000001,9,,High,High,Low,Moderate,No,1,0.3555808679160334,130,*OC(*)O
CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2NC(O)CCOC1CN(C)C(=O)CCC(F)(F)F,628.6110000000001,3.746800000000002,4,7,131.44,9,,High,High,Low,Moderate,No,1,0.3066730462661065,130,*NC(*)O
CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2C2SN3C(CCOC1CN(C)C(=O)CCC(F)(F)F)[C@H]23,668.701,4.772200000000004,2,7,102.19,9,,High,High,Low,Moderate,No,1,0.22221612713977842,130,*C1SN2C(*)[C@H]12
