SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
NCCCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccccc1)N)C(N)=O,634.7860000000002,-0.3876299999999932,10,7,260.12,19,,Low,Low,Low,Moderate,No,2,0.04705174685567047,65,
CC(O)=CC1CNC(c2ccccc2)C(=O)NC(c2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(N)=O)CCCCN1,688.8339999999998,0.9781700000000044,11,8,252.37,8,,Low,Low,Low,Moderate,No,2,0.06972612786676353,95,*CC(*)C=C(C)O
CC1CNC(c2ccccc2)C(=O)NC(c2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(N)=O)CCCCN1,646.7969999999999,0.5362700000000051,10,7,232.14000000000001,7,,Low,Low,Low,Moderate,No,2,0.09861342565647821,95,*CC(*)C
CCCC1(C)CNC(c2ccccc2)C(=O)NC(c2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(N)=O)CCCCN1,688.8779999999998,1.7065700000000048,10,7,232.14000000000001,9,,Low,Low,Low,Moderate,No,2,0.0901123647410392,95,*CC(*)(C)CCC
N=C(N)NCCCC1NC(=O)C(c2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NCCCNCCCCC(C(N)=O)NC1=O,646.797,0.5378700000000058,10,7,232.14,7,,Low,Low,Low,Moderate,No,2,0.09862232887463476,95,*CCC*
N=C(N)NCCCC1NC(=O)C(c2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC2SC2NCCCCC(C(N)=O)NC1=O,662.8209999999998,0.546770000000006,10,8,232.14,7,,Low,Low,Low,Moderate,No,2,0.07354840789652979,95,*C1SC1*
