SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CCCCC(=O)Cc1c(Br)c(O)c(Br)c(O)c1C(=O)OC,424.0850000000001,3.7112000000000025,2,5,83.83,6,,High,High,Low,High,No,0,0.6809871773512605,200,
O=C1OCC=NCCCCCCC(=O)C2C(O)=C(Br)C(O)=C12,372.215,2.74,2,6,96.19,0,,High,Low,Low,High,No,0,0.6377402291798469,215,*C=NCC*
O=C1OCCCSCCCCC(=O)C2C(O)=C(Br)C(O)=C12,377.25600000000003,3.0123000000000006,2,6,83.83000000000001,0,,High,High,Low,High,No,0,0.6317550593492643,200,*CCS*
O=C1OCCSCCCCCC(=O)C2C(O)=C(Br)C(O)=C12,377.25600000000003,3.0123000000000006,2,6,83.83000000000001,0,,High,High,Low,High,No,0,0.6317550593492643,200,*CSC*
O=C1OCCCCCCCCCC(=O)C2C(O)=C(Br)C(O)=C12,373.243,3.839500000000002,2,5,83.83000000000001,0,,High,High,Low,High,No,0,0.6306359212759328,200,*CCCC*
O=C1OCCCCCCCCC(=O)C2C(O)=C(Br)C(O)=C12,359.216,3.4494000000000016,2,5,83.83000000000001,0,,High,High,Low,High,No,0,0.6475085265911393,200,*CCC*
