SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
C(=O)Nc1cc(O)c(NC(=O)c2cccc(OC)c2)c(C=C(C)CC(OC)C(O)C(C)C=C(C)COC(N)=O)c1O,571.6270000000003,3.7740000000000022,6,9,189.67000000000002,14,,High,High,Low,Moderate,No,2,0.0848015717780987,90,
COc1cccc(C(=O)Nc2cc(O)c3c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(O)NC(OC(N)=O)C(C)=CC(C)C(O)C(OC)CC3C)c1,828.9570000000001,4.369200000000003,9,14,274.61,7,,Low,High,Moderate,Moderate,No,3,0.10658951044143783,50,*NC(*)O
COc1cccc(C(=O)Nc2cc(O)c3c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)N(C)CC(OC(N)=O)C(C)=CC(C)C(O)C(OC)CC3C)c1,826.9849999999999,5.393000000000006,7,13,245.59,7,,High,High,Moderate,Moderate,No,4,0.105278737716173,40,*CN(*)C
COc1cccc(C(=O)Nc2cc(O)c3c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(C)CC(OC(N)=O)C(C)=CC(C)C(O)C(OC)CC3C)c1,825.997,6.529900000000007,7,12,242.35,7,,High,High,Moderate,Moderate,No,4,0.08957122020666908,40,*CC(*)C
COc1cccc(C(=O)Nc2cc(O)c3c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C2CC2C(OC(N)=O)C(C)=CC(C)C(O)C(OC)CC3C)c1,823.981,6.1398000000000055,7,12,242.35,7,,High,High,Moderate,Moderate,No,4,0.09465864873911532,40,*C1CC1*
COc1cccc(C(=O)Nc2cc(O)c3c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C=C=CC(OC(N)=O)C(C)=CC(C)C(O)C(OC)CC3C)c1,821.965,6.215000000000006,7,12,242.35,7,,High,High,Moderate,Moderate,No,4,0.07133689010078575,40,*C=C=C*
