SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N(CC)CC(N)=O,794.9579999999999,0.9324000000000077,8,7,259.99,22,,Low,Low,Low,Moderate,No,2,0.03218125524153316,85,
NC(=O)CN1CCCCCCCC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,792.9419999999997,2.246700000000004,8,7,259.99,9,,Low,Low,Low,Moderate,No,2,0.07066845086195943,95,*CCC*
NC(=O)CN1CCCOCCC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,780.8869999999998,0.702900000000007,8,8,269.21999999999997,9,,Low,Low,Low,Moderate,No,2,0.06741178933945886,95,*CO*
NC(=O)CN1CCCOCCCC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,794.9139999999996,1.093000000000007,8,8,269.21999999999997,9,,Low,Low,Low,Moderate,No,2,0.06838397236445393,95,*COC*
NC(=O)CN1CCCCCCC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,778.9149999999997,1.8566000000000051,8,7,259.99,9,,Low,Low,Low,Moderate,No,2,0.07050098008112747,95,*CC*
C[C@H]1CCCCN(CC(N)=O)C(=O)C(c2c[nH]c3ccccc23)NC(=O)C(CCCN=C(N)N)NC(=O)C(c2ccccc2)NC(=O)C(c2ccccc2)NC(=O)CCC1,820.996,2.8828000000000067,8,7,259.99,9,,Low,Low,Moderate,Moderate,No,2,0.07058842534559712,85,*CC[C@H](C)C*
