SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)CN)C(C)CC)C(C)O,672.785,-3.934630000000006,12,10,334.0399999999999,22,,Low,Low,Moderate,Moderate,No,2,0.029794714261073357,55,
CCC(C)C(NC(=O)C(C)NC(=O)CNC(=O)CCCCNC(=N)N)C(=O)NC1CC(=O)OC(=O)CCNC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC1=O,782.8970000000002,-3.3473300000000044,11,12,329.19999999999993,17,,Low,Low,Moderate,Moderate,No,3,0.022629367269041804,35,*CCC(*)=O
CCC(C)C(NC(=O)C(C)NC(=O)CNC(=O)CCCCNC(=N)N)C(=O)NC1CC(=O)OC(O)CNC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC1=O,770.8860000000001,-3.945630000000005,12,12,332.35999999999996,17,,Low,Low,Moderate,Moderate,No,3,0.02913184370101283,35,*CC(*)O
CCC(C)C(NC(=O)C(C)NC(=O)CNC(=O)CCCCNC(=N)N)C(=O)NC1CC(=O)OCC=CNC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC1=O,766.8980000000001,-2.750330000000002,11,11,312.13,17,,Low,Low,Moderate,Moderate,No,3,0.03108753574256053,35,*C=CC*
CCC(C)C(NC(=O)C(C)NC(=O)CNC(=O)CCCCNC(=N)N)C(=O)NC1CC(=O)OCCCNC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC1=O,768.9140000000002,-2.8739300000000036,11,11,312.13,17,,Low,Low,Moderate,Moderate,No,3,0.03080285847667471,35,*CCC*
CCC(C)C(NC(=O)C(C)NC(=O)CNC(=O)CCCCNC(=N)N)C(=O)NC1CC(=O)OOCCNC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC1=O,770.8860000000002,-3.3324300000000036,11,12,321.35999999999996,17,,Low,Low,Moderate,Moderate,No,3,0.0298869617087097,35,*CCO*
