SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CCCC(=O)Cc1c(Cl)c(O)cc(O)c1C(=O)OCC,300.73800000000006,2.8396000000000017,2,5,83.83,6,,High,Low,Low,High,No,0,0.7892392706266533,215,
CC1C=C=CCCCC(=O)c2c(Cl)c(O)cc(O)c2C(=O)O1,322.7440000000001,3.374400000000002,2,5,83.83,0,,High,High,Low,High,No,0,0.564850093448429,180,*C=C=C*
CC1C=CCCCCC(=O)c2c(Cl)c(O)cc(O)c2C(=O)O1,324.7600000000001,3.609400000000002,2,5,83.83,0,,High,High,Low,High,No,0,0.562319297071991,180,*C=CC*
CC1CCCCCCC(=O)c2c(Cl)c(O)cc(O)c2C(=O)O1,326.77600000000007,3.8334000000000032,2,5,83.83,0,,High,High,Low,High,No,0,0.7076857811987838,200,*CCC*
