SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
SCC(NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)CCC(C)(C)C)C(=O)O,561.6620000000004,-1.8643299999999927,10,8,252.89999999999998,17,,Low,Low,Low,Moderate,No,2,0.04097420608715491,75,
C=CC1SCC(C(=O)O)NC(=O)C(NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)(C)C)NC(C)=O)CC(=O)OC1C,684.8170000000001,-1.531029999999996,9,10,271.0,14,,Low,Low,Moderate,Moderate,No,2,0.033156300840377004,55,*C(C)C(*)C=C
CC(=O)NC(CC(C)(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OC2CC2SCC(C(=O)O)NC1=O,656.7630000000003,-2.3332299999999933,9,10,271.0,13,,Low,Low,Moderate,Moderate,No,2,0.04370572053335372,55,*C1CC1*
CC(=O)NC(CC(C)(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OCC(C(C)C)SCC(C(=O)O)NC1=O,686.8330000000002,-1.4495299999999898,9,10,271.0,14,,Low,Low,Moderate,Moderate,No,2,0.0439649091117027,55,*CC(*)C(C)C
CC(=O)NC(CC(C)(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OCC(C)SCC(C(=O)O)NC1=O,658.7790000000002,-2.085629999999993,9,10,271.0,13,,Low,Low,Moderate,Moderate,No,2,0.04463237788988089,55,*CC(*)C
CC(=O)NC(CC(C)(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OCC(CC2CC2)SCC(C(=O)O)NC1=O,698.8440000000002,-1.3054299999999919,9,10,271.0,15,,Low,Low,Moderate,Moderate,No,2,0.04178183591473783,55,*CC(*)CC1CC1
