SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CC(C)CC(C)C(=O)C(O)C1=C(C2OC(C)C(C)C(O)C2C)C(=O)C(=O)C(C)C1=O,422.5180000000002,1.6725999999999999,2,7,117.97,6,,Low,Low,Low,High,Yes,0,0.4937051710139878,135,
CC1CC(C)C(=O)C(O)C2=C(C(=O)C(O)C2=O)C2OC(CCC=CN(C)C1)C(C)C(O)C2C,463.57100000000025,1.0278000000000005,3,8,124.36999999999999,0,,Low,Low,Low,High,No,0,0.4551857453146433,155,*CC=CN(*)C
CC1CCC=C=CCC2OC(C3=C(C(=O)C(O)C3=O)C(O)C(=O)C(C)C1)C(C)C(O)C2C,446.5400000000002,1.6836999999999998,3,7,121.13000000000001,0,,Low,Low,Low,High,No,0,0.3823472816404156,155,*C=C=CC*
CC1CCC#CCCC2OC(C3=C(C(=O)C(O)C3=O)C(O)C(=O)C(C)C1)C(C)C(O)C2C,446.5400000000002,1.3658999999999992,3,7,121.13000000000001,0,,Low,Low,Low,High,No,0,0.37949144876930213,155,*CC#CC*
CC1CCNCCCC2OC(C3=C(C(=O)C(O)C3=O)C(O)C(=O)C(C)C1)C(C)C(O)C2C,451.5600000000002,0.5620000000000012,4,8,133.16,0,,Low,Low,Low,High,No,0,0.3928602608864485,155,*CCNC*
CC1CNCCCCC2OC(C3=C(C(=O)C(O)C3=O)C(O)C(=O)C(C)C1)C(C)C(O)C2C,451.56000000000023,0.5620000000000009,4,8,133.16,0,,Low,Low,Low,High,No,0,0.3928602608864485,155,*CCCN*
