SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
CC(=O)NC(Cc1cc2ccccc2[nH]1)C(=O)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)NCCCCNC(=N)N)CC2CCCCC21,739.9219999999996,2.2124700000000033,7,6,205.61,13,,Low,Low,Low,Moderate,No,2,0.07903114586123486,85,
CC1NC(=O)C(c2cc3ccccc3[nH]2)NC(=O)CCC(O)C(CCCNC(=N)N)NC(=O)C2CC3CCCCC3N2C1=O,608.7440000000001,0.8923700000000043,8,6,205.53000000000003,5,,Low,Low,Low,Moderate,No,2,0.1396583015131371,95,*CC(*)O
CC1NC(=O)C(c2cc3ccccc3[nH]2)NC(=O)CCC(O)CC(CCCNC(=N)N)NC(=O)C2CC3CCCCC3N2C1=O,622.7710000000001,1.282470000000004,8,6,205.53000000000003,5,,Low,Low,Low,Moderate,No,2,0.13916843878908408,95,*CC(O)C*
CC1NC(=O)C(c2cc3ccccc3[nH]2)NC(=O)CCCCC(CCCNC(=N)N)NC(=O)C2CC3CCCCC3N2C1=O,606.7720000000002,2.311670000000003,7,5,185.3,5,,Low,Low,Low,Moderate,No,2,0.15551464653836578,95,*CCC*
CC1NC(=O)C(c2cc3ccccc3[nH]2)NC(=O)CCCNC(CCCNC(=N)N)NC(=O)C2CC3CCCCC3N2C1=O,607.7600000000001,1.0785700000000042,8,6,197.33,5,,Low,Low,Low,Moderate,No,2,0.14129761810768623,95,*CCN*
