SMILES,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score,Linkers
NC(CCCNC(=N)N)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CSS)C(N)=O)C(C)O,680.8550000000001,-4.496629999999999,13,12,316.96999999999997,21,,Low,Low,Moderate,Moderate,No,3,0.01793984050855178,35,
C#CCC1SSCC(C)NC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC1=O,729.9269999999999,-2.595629999999997,11,11,276.96,9,,Low,Low,Moderate,Moderate,No,3,0.03836049135262564,45,*C(=O)C(*)CC#C
CC#CC1CNC(CCCNC(=N)N)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(C)O)C(=O)NC(CC(C)C)C(=O)NC(C)CSS1,715.9440000000001,-2.122229999999994,11,11,259.89,8,,Low,Low,Moderate,Moderate,No,3,0.0423988080012512,45,*CC(*)C#CC
CC(C)CC1NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(C)C(C)SSCC(C)NC1=O,705.9490000000001,-1.7371299999999936,11,11,259.89,8,,Low,Low,Moderate,Moderate,No,3,0.05825536446352264,45,*C(C)C(*)C
CC(C)CC1NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC2[C@H](O)C2(C)SSCC(C)NC1=O,719.9320000000001,-3.0123299999999986,12,12,280.11999999999995,8,,Low,Low,Moderate,Moderate,No,3,0.05161965818336467,45,*C1[C@H](O)C1(*)C
CC(C)CC1NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NCC(=O)C(C)SSCC(C)NC1=O,719.932,-2.556529999999997,11,12,276.96,8,,Low,Low,Moderate,Moderate,No,3,0.053413407219852084,45,*CC(=O)C(*)C
